ID,Título,Fecha,Contenido,Imagen,Fuente,Contenido Completo,Categoria,Fecha de Scraping
1,Arequipa: Gilberto Gallegos Ramos es el nuevo gerente regional de salud,2024-09-12 22:01:04,"El gobernador regional de Arequipa, Rohel Sánchez Sánchez, presentó al nuevo gerente regional de Salud. Mediante la Resolución Ejecutiva N° 544-2024-GRA/GR, se designó a Gilberto Rafael Gallegos Ramos,  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/WhatsApp-Image-2024-09-12-at-9.07.54-PM-331x219.jpeg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-gilberto-gallegos-ramos-es-el-nuevo-gerente-regional-de-salud/,"Gilberto Gallegos Ramos.
 








El gobernador regional de Arequipa, Rohel Sánchez Sánchez, presentó al nuevo gerente regional de Salud.


Mediante la Resolución Ejecutiva N° 544-2024-GRA/GR, se designó a Gilberto Rafael Gallegos Ramos, en el cargo. La autoridad regional agradeció los servicios prestados por el ex funcionario Abraham Rodríguez Rivas y recomendó al nuevo funcionario estar pendiente de lo que sucede a su alrededor, puesto que existe personal administrativo que entorpece la gestión buscando algún beneficio personal y en esos afanes, perjudican a los pacientes.


«¿Cómo es posible que en el reciente concurso CAS que hemos anulado por haber encontrado diversas irregularidades, se ponga una cláusula que impide a quienes han trabajado en sector puedan postular. Acaso la experiencia no sirve? Dijimos que todo el proceso debía transmitirse en vivo; pero no lo hicieron, no se firmaron actas y muchas otras observaciones más que no vamos a permitir», enfatizó.


Reiteró que el sistema de salud a nivel nacional ha colapsado, pero con lo poco que se tiene se busca avanzar y se viene haciendo gestiones para mejorar, como el caso de la construcción del nuevo IREN Sur o el hospital Goyeneche, donde se invertirá más de mil 800 millones de soles; el reinicio de obras en los establecimientos de salud de Camaná, Cotahuasi, Maritza Campos o Chala, luego que se termine de elaborar los expedientes de saldo de obra; la construcción de centros de salud como Sachaca, Achanizo, Uraca, Huancarqui o Cabanaconde; la implementación con una serie de equipos, el programa contra la anemia y desnutrición infantil, telesalud, las historias clínicas digitales, entre otros proyectos.",AREQUIPA,2024-09-13 08:01:04
2,Luce renovado: Teatro Municipal de Arequipa reabre sus puertas tras restauración [FOTOS],2024-09-12 21:01:04,"La Municipalidad Provincial de Arequipa anunció la conclusión de los trabajos de restauración del Teatro Municipal, que ahora está listo para reabrir sus puertas al público. La remodelación  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/1000040045-331x219.jpg,https://diariosinfronteras.com.pe/2024/09/12/luce-renovado-teatro-municipal-de-arequipa-reabre-sus-puertas-tras-restauracion-fotos/,"Teatro Municipal de Arequipa.
 










































La Municipalidad Provincial de Arequipa anunció la conclusión de los trabajos de restauración del Teatro Municipal, que ahora está listo para reabrir sus puertas al público.


La remodelación respetó la arquitectura original del edificio, pero se incorporaron mejoras en la infraestructura, así como en los sistemas de iluminación y sonido.",AREQUIPA,2024-09-13 08:01:05
3,Arequipa: Docentes podrán presentar sus reclamos hasta el 16 de setiembre,2024-09-12 17:01:05,"El Ministerio de Educación (Minedu) publicó ayer los resultados preliminares de la prueba nacional del Concurso de Ingreso a la Carrera Pública Magisterial, con los nombres de los  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/A-17-331x219.jpg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-docentes-podran-presentar-sus-reclamos-hasta-el-16-de-setiembre/,"En la etapa Descentralizada se evaluará una clase, entrevista y trayectoria.
 








El Ministerio de Educación (Minedu) publicó ayer los resultados preliminares de la prueba nacional del Concurso de Ingreso a la Carrera Pública Magisterial, con los nombres de los postulantes que pasan a la etapa Descentralizada al haber alcanzado el puntaje requerido.


Esta evaluación, denominada Prueba Nacional de Nombramiento Docente 2024, se desarrolló en dos fechas (30 de agosto y 1 de setiembre) y ha generado expectativa entre los profesores que buscan obtener estabilidad laboral dentro del sistema educativo peruano mediante la meritocracia.


Los participantes pueden conocer los resultados ingresando a la siguiente página: evaluaciondocente.perueduca.pe/consulta_unica/. Los interesados solo deben colocar su documento de identidad y su contraseña, así como el código de la imagen que aparecen en el enlace.


Los postulantes que lo consideren pertinente pueden presentar sus reclamos sobre los resultados preliminares desde el 12 hasta el 16 de setiembre.


El Ministerio de Educación (Minedu) explicó que los resultados finales se conocerán el 20 del mismo mes. Figurarán los nombres de los postulantes que han pasado a la etapa Descentralizada al alcanzar los puntajes mínimos requeridos.",AREQUIPA,2024-09-13 08:01:05
4,Arequipa: Hallan situación crítica en centro de salud de Chiguata,2024-09-12 17:01:05,"El consejero regional de la provincia de La Unión y presidente de la Comisión de Salud, Élfer Ale Cruz, esta semana supervisó las instalaciones de la Micro Red  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/a-23-331x219.jpeg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-hallan-situacion-critica-en-centro-de-salud-de-chiguata/,"Población viene siendo afectada por malas condiciones de establecimiento.
 








El consejero regional de la provincia de La Unión y presidente de la Comisión de Salud, Élfer Ale Cruz, esta semana supervisó las instalaciones de la Micro Red de Salud de Chiguata (nivel I-III), que fue encontrada en mal estado debido a la precariedad de su actual infraestructura, lo que representa un riesgo latente para la población que se atiende en el establecimiento.

Sin embargo, los pacientes no son los únicos afectados, sino también el personal de salud que labora en el centro.


Al respecto, Giovanna Granda, directora de la Micro Red de Salud de Chiguata, informó que los espacios de la actual infraestructura son inadecuados, lo que dificulta la prestación de servicios médicos. Frente a esta problemática, señaló que han solicitado la transferencia de un terreno destinado al sector Salud, pero hasta la fecha no ha sido transferido por el Gobierno Regional de Arequipa a la municipalidad del distrito.


Tras conocer ello, el consejero se comprometió a dar seguimiento e interponer sus buenos oficios para que se lleve a cabo acciones rápidas y efectivas, a fin de que se realice el proceso de transferencia del terreno y se ejecute la construcción de un hospital tipo III en Chiguata.


En la visita al establecimiento, el presidente de la comisión de Salud también constató que el centro de salud cuenta con poco personal, pues solo hay un psicólogo, un biólogo, una nutricionista, una asistenta social, un estadístico, un técnico administrativo, un piloto de ambulancia, un auxiliar asistencial y un trabajador de servicio que hace funciones de digitador y estadística para toda la población que asiste al puesto de salud.",AREQUIPA,2024-09-13 08:01:06
5,Arequipa: Dos premios Nobel estarán presentes en el Hay Festival 2024,2024-09-12 16:01:06,"Del 7 al 10 de noviembre de este año se realizará una edición más del Hay Festival Arequipa, el evento cultural más grande del Perú. El Hay es  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/Arequiap-5-A-331x219.jpeg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-dos-premios-nobel-estaran-presentes-en-el-hay-festival-2024/,"Arequipa: Dos premios Nobel estarán presentes en el Hay Festival 2024
 








Del 7 al 10 de noviembre de este año se realizará una edición más del Hay Festival Arequipa, el evento cultural más grande del Perú. 
El Hay es un festival cultural donde diversos artistas, científicos, escritores y activistas de todo el mundo conversan sobre temas que tienen que ver con su labor o su obra.


Ayer, en conferencia de prensa realizada en la Biblioteca Regional Mario Vargas Llosa, se presentó el programa del festival y se dio a conocer a los participantes.


Los destacados de este año son Carlos Umaña, Premio Nobel de la Paz en 2017, quien hablará de ambientalismo y de la necesidad de erradicar el armamento nuclear en el mundo, así como de su labor específica como científico y activista; y el Premio Nobel de Literatura en 2021, Abdulrazak Gurnah (Tanzania-Reino Unido), quien nos contará sobre condición humana entrelazando temas como el exilio, la migración, la identidad y los efectos del colonialismo y el destino de los refugiados entre culturas y continentes.


Desde España, Irene Vallejo, autora del influyente ensayo El infinito en un junco: la invención de los libros en el mundo antiguo, hablará sobre su pasión por los libros, las bibliotecas y la lectura en la educación. El escritor Javier Moro, premio Planeta 2011, presentará su obra Nos quieren muertos, una narrativa sobre Leopoldo López, fundamental para entender la historia reciente de Venezuela.


Desde Argentina llega Agustina Bazterrica, quien sorprendió a todos con una novela escalofriante e hipnótica: Cadáver exquisito. Llega una etapa en la historia de la humanidad en que se oficializa el canibalismo: hombres crían y comercializan otros hombres para consumir su carne.


También estará presente el francés Jean-Baptiste Del Amo (Francia), quien conversará sobre la transmisión de violencia y trauma entre generaciones, a propósito de su novela El hijo del hombre.


Pablo Vierci, de Uruguay, compartirá la conmovedora experiencia de los 16 jóvenes sobrevivientes del accidente de avión en la nieve, relatada en su libro La sociedad de la nieve.


Alessandro Maccarrone (España), autor de El infinito placer de las matemáticas, bestseller con casi 20 mil ejemplares vendidos solo en español, hablará de su amor por la divulgación de las matemáticas como ciencia alcanzable para todos.


También se contará con destacados escritores peruanos como María José Caro, Giacomo Roncagliolo, Gabriela Wiener, Guillermo Niño de Guzmán, Susane Noltenius, Juan Manuel Robles, Dina Ananco Ahuananchi, Oswaldo Chanove, Rocío Silva Santisteban, Hugo Coya, Andrea Ortiz de Zeballos o Karina Pacheco.


ENTRADAS


Las entradas a las actividades del programa general del festival costarán 10 soles; las charlas con traducción simultánea, 15 soles. Los espectáculos artísticos (concierto y obra de teatro) tienen un precio de 35 soles. Las entradas se pueden adquirir ya en www.hayfes tival.org/arequipa.",AREQUIPA,2024-09-13 08:01:06
6,Arequipa es la segunda región que recibió más canon y regalías a julio del 2024,2024-09-12 16:01:06,"Arequipa es la segunda región que recibió más canon y regalías a julio del 2024, con 1094 millones de soles, solo fue superada por Áncash que obtuvo S/  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/000782442W-331x219.jpg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-es-la-segunda-region-que-recibio-mas-canon-y-regalias-a-julio-del-2024/,"Arequipa es la segunda región que recibió más canon y regalías a julio del 2024
 








Arequipa es la segunda región que recibió más canon y regalías a julio del 2024, con 1094 millones de soles, solo fue superada por Áncash que obtuvo S/ 1434 millones. En tanto, Moquegua ocupa el tercer lugar con más de S/ 906 millones.


De acuerdo al Ministerio de Energía y Minas, las regiones recibieron S/ 7021 millones por transferencias de recursos generados por actividad minera.


El canon minero, que alcanzó los 5564 millones de soles, proviene del 50% del impuesto a la renta que pagan las mineras, mientras que las regalías (1408 millones de soles) se refieren a la compensación que las compañías pagan al Estado por la explotación de sus recursos.


Estos recursos deben generar desarrollo económico en los departamentos con presencia de la actividad minera, porque financian proyectos de infraestructura y servicios básicos como agua, saneamiento, educación, salud, entre otros.",AREQUIPA,2024-09-13 08:01:07
7,Arequipa: Obra de mejoramiento vial en el asentamiento humano Posa de Cristo tiene 40% de avance,2024-09-12 14:01:07,"El alcalde de Paucarpata, Marco Antonio Anco, realizó una inspección a la obra de mejoramiento de la transitabilidad vehicular y peatonal en el A.H. Posada de Cristo. Durante  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/Arequipa-7-B-331x219.jpeg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-obra-de-mejoramiento-vial-en-el-asentamiento-humano-posa-de-cristo-tiene-40-de-avance/,"Arequipa: Obra de mejoramiento vial en el asentamiento humano Posa de Cristo tiene 40% de avance
 








El alcalde de Paucarpata, Marco Antonio Anco, realizó una inspección a la obra de mejoramiento de la transitabilidad vehicular y peatonal en el A.H. Posada de Cristo. Durante su visita, el alcalde se reunió con dirigentes y vecinos del lugar, así como con la empresa encargada de la ejecución de la obra, para conocer de primera mano los avances y abordar cualquier inconveniente que pudiera surgir.


La obra, que actualmente presenta un avance del 40%, ha estado enfocada en la construcción de graderías, jardineras y muros de contención. El alcalde destacó la importancia de estas obras para garantizar que las vías no se vuelvan inaccesibles durante la temporada de lluvias, asegurando así la seguridad y comodidad de los vecinos.


Se espera que la culminación de este proyecto se realice en diciembre, beneficiando a más de 30.000 personas que han esperado más de 20 años por estas mejoras.",AREQUIPA,2024-09-13 08:01:08
8,Arequipa: Suspenden a alcalde procesado judicialmente por presunta falsificación de documentos,2024-09-12 14:01:08,"Camaná. El pleno del Jurado Nacional de Elecciones (JNE) emitió la resolución 0254-2024-JNE, donde suspende provisionalmente al alcalde del distrito de Mariano Nicolás Valcárcel, Wilian David Alvarado Sánchez,  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/Arequipa-11-A-1-331x219.jpg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-suspenden-a-alcalde-procesado-judicialmente-por-presunta-falsificacion-de-documentos/,"Arequipa: Suspenden a alcalde procesado judicialmente por presunta falsificación de documentos
 








Camaná. El pleno del Jurado Nacional de Elecciones (JNE) emitió la resolución 0254-2024-JNE, donde suspende provisionalmente al alcalde del distrito de Mariano Nicolás Valcárcel, Wilian David Alvarado Sánchez, hasta que se resuelva su situación judicial debido a una denuncia.


En el mismo documento, se convocó a la regidora Doris Valencia Aquino para que asuma el cargo, y se le otorgará la respectiva credencial para que entre en funciones de manera inmediata.


El pasado 22 de julio, el concejo municipal desaprobó la solicitud de vacancia contra la autoridad edil. Esto fue apelado por el ciudadano Eudes Saúl Acevedo Miranda, quien evidenció que Alvarado Sánchez contaba con sentencias judiciales consentidas por estar involucrado en un proceso de presunta falsificación de documentos cuando fue parte de una junta directiva en Secocha.


Con la resolución del JNE quedó revocado el acuerdo de concejo 028-2024-MDMNV-CM. Además, se convocó a la ciudadana Nadian Ofelia Soncco Surco para que asuma el cargo provisional de regidora a fin de conformar el concejo municipal. Se desconoce si el alcalde podrá retornar a sus funciones.",AREQUIPA,2024-09-13 08:01:08
9,Arequipa: Incendio reduce a cenizas tres camiones al ingreso del centro poblado Santa María de la Colina,2024-09-12 14:01:08,"Majes. La noche del último martes, un voraz incendio dejó en cenizas tres camiones transportadores de chala que estaban estacionados en una cochera, detrás de La Balanza, en  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/Arequipa-10-A-2-331x219.jpg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-incendio-reduce-a-cenizas-tres-camiones-al-ingreso-del-centro-poblado-santa-maria-de-la-colina/,"Arequipa: Incendio reduce a cenizas tres camiones al ingreso del centro poblado Santa María de la Colina
 








Majes. La noche del último martes, un voraz incendio dejó en cenizas tres camiones transportadores de chala que estaban estacionados en una cochera, detrás de La Balanza, en el ingreso al centro poblado Santa María de la Colina, en el distrito de Majes, por causas que aún se desconoce.


Una mujer que labora como vigilante del estacionamiento contó que fueron los choferes de otras unidades que se quedan a dormir para cuidar su carga quienes alertaron del siniestro. 


Uno de los conductores identificado como Wálter Arturo Calcina Mamani, de 34 años, sufrió graves quemaduras de segundo grado, por lo que fue trasladado por bomberos del distrito hasta el Hospital Central de Majes.


Según los testimonios recogidos por la Policía, el herido ingresó a la cochera junto a otro varón, que se retiró luego de permanecer diez minutos. Posteriormente se percataron del fuego. 


La Policía logró detener a un sospechoso, que permanece detenido para iniciar las investigaciones sobre el origen del fuego.",AREQUIPA,2024-09-13 08:01:09
10,Arequipa: Dictan prisión preventiva para sujeto que atacó con cuchillo a varón por no seguir libando,2024-09-12 14:01:09,"El sexto despacho de la Primera Fiscalía Provincial Penal Corporativa de Arequipa consiguió prisión preventiva por nueve meses para Carlos Andrés Villanueva Gutiérrez, investigado por el presunto delito  ...",https://diariosinfronteras.com.pe/wp-content/uploads/2024/09/Arequipa-9-A-1-331x219.jpg,https://diariosinfronteras.com.pe/2024/09/12/arequipa-dictan-prision-preventiva-para-sujeto-que-ataco-con-cuchillo-a-varon-por-no-seguir-libando/,"Arequipa: Dictan prisión preventiva para sujeto que atacó con cuchillo a varón por no seguir libando
 








El sexto despacho de la Primera Fiscalía Provincial Penal Corporativa de Arequipa consiguió prisión preventiva por nueve meses para Carlos Andrés Villanueva Gutiérrez, investigado por el presunto delito de lesiones graves agravadas en agravio de Augusto Élfer Valdivia Vilca.


En audiencia, la fiscal Mónica Isabel Yana Suni sustentó que el día 7 de setiembre de 2024, en horas de la madrugada, es decir, a las 2:00 horas aproximadamente, en el distrito de Cerro Colorado, el imputado utilizando un cuchillo le causó tres heridas punzocortantes en el cuello, en el abdomen y en la espalda del agraviado, los que, por su ubicación, habrían puesto en riesgo la vida de Élfer Valdivia.


El hecho ocurrió en la vía pública, luego de que Valdivia Vilca decidió retirarse del minidepartamento del investigado, pero el imputado quería que siguieran tomando y, por ello, le sacó la billetera.


El investigado ingresó a su cuarto y salió con un cuchillo que utilizó para causarle lesiones a Valdivia Vilca, quien ya estaba en la calle.",AREQUIPA,2024-09-13 08:01:09
